kikaku_id,kikaku_edaban,shohin_category,shohin_name,zeinuki_jodai,mokuhyo_hambai_su,shokai_seisanyotei_su,sku,chiiki,hanbaiyoteikosu_nihon,hanbaiyoteikosu_chugoku,hanbaiyoteikosu_asia,hanbaiyoteikosu_chunanbei,hanbaiyoteikosu_europe,hanbaikoku_shosai,hanbai_jiki,kokuchi_kaishi_jiki,jyouhou_syosyutu_jiki,uriba_tempo,uriba_event,uriba_ecsite,urikata_ippanryutsu,urikata_juchuhambai,urikata_senkohambai,urikata_tempo_kaijogenteihambai,hanro,shoshi_insatsu,shoshi_hari,trading,kakiorosi_kibou_umu,asobistore,sendenhansoku_keikaku,sozai_mitsumori,ryouritu,sample,riyu_joken,taisho_nenreisou,taisho_seibetsu,shohin_setsumei,sozai,size,kansei_image,comment,ok_ng,sakujo_flg,touroku_sha,touroku_bi,koushin_sha,koushin_bi
PP00000001,1,,NEWERA PACMAN 5950・5950RC・930,3800,1008,1008,,,,,,,,日本国内,2019/11/1,2019年11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/31|15:51:34,猪腰 浩司,2019/05/31|15:51:34
PP00000002,1,,ASOM！X　ららぽーと海老名店（店内装飾）,,,,,,,,,,,日本国内,2019/4/19,2019年3月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/17|18:23:57,猪腰 浩司,2019/05/17|18:23:57
PP00000003,1,,パックマンピッツア,,,,,,,,,,,日本国内,2019/4/19,2019年3月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/17|18:23:50,猪腰 浩司,2019/05/17|18:23:50
PP00000004,1,,艶乙女,2593,500,300,,,,,,,,全国（日本）,2019/3/1,2019年3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:20:05,猪腰 浩司,2019/06/27|17:20:05
PP00000005,1,,LINEクリエイターズスタンプ 　「ているず おぶ ざ れいず劇場 」,111,5000,,,,,,,,,日本,2019/3/17,2019年3月17日,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/20|10:55:27,猪腰 浩司,2019/05/20|10:55:27
PP00000006,1,,アイドルマスター シンデレラガールズ アクリルキャラコレクション　第10弾,600,3600,3600,,,,,,,,日本国内,2019/8/1,2019年6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/31|16:24:23,猪腰 浩司,2019/05/31|16:24:23
PP00000006,2,,アイドルマスター シンデレラガールズ アクリルキャラプレートぷち　第12弾,1280,2700,2700,,,,,,,,日本国内,2019/7/1,2018年5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/31|16:35:02,猪腰 浩司,2019/05/31|16:35:02
PP00000006,3,,アイドルマスター シンデレラガールズ アクリルキャラステージ　第10弾,1800,900,900,,,,,,,,日本国内,2019/8/1,2019年6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/31|16:24:09,猪腰 浩司,2019/05/31|16:24:09
PP00000007,1,,缶バッジ（抽選くじC賞）,463,300,150,,,,,,,,日本国内,2019/1/1,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:20:04,猪腰 浩司,2019/06/27|17:20:04
PP00000008,1,,ドットTシャツ,4000,100,100,,,,,,,,日本,2019/4/13,2019年4月1日頃,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/12|17:12:47,猪腰 浩司,2019/06/12|17:12:47
