kyodaku_id,kyodaku_edaban,shohin_mei,hatsubai_bi,zeinuki_jodai,ryoritsu,siyoryo,saiteihosho_su_shinseisu,saiteihosho_su_kyodakuryo,shoshi,mihon_suryo,hanbai_chiiki,sakujo_flg,touroku_sha,touroku_bi,koushin_sha,koushin_bi
LI00000001,1,にゃーコレ 衣装　テイルズ オブ ジ アビス「ルーク・フォン・ファブレ」,2019/02/28|00:00:00,2300,5,115,91,10465,73,,,0,猪腰 浩司,2019/03/15|16:54:17,猪腰 浩司,2019/03/15|16:54:17
LI00000001,2,"にゃーコレ 衣装　テイルズ オブ 
ヴェスペリア「ユーリ・ローウェル」",2019/02/28|00:00:00,2300,5,115,116,13340,73,,,0,猪腰 浩司,2019/03/15|16:54:27,猪腰 浩司,2019/03/15|16:54:27
LI00000002,1,アイドルマスター SideM　スナップショットスタンド「天ヶ瀬 冬馬」,2018/12/15|00:00:00,1000,5,50,231,11550,73,,,0,猪腰 浩司,2019/03/15|16:52:44,猪腰 浩司,2019/03/15|16:52:44
LI00000002,2,アイドルマスター SideM　スナップショットスタンド「桜庭 薫」,2018/12/15|00:00:00,1000,5,50,206,10300,73,,,0,猪腰 浩司,2019/03/15|16:52:53,猪腰 浩司,2019/03/15|16:52:53
LI00000002,3,アイドルマスター SideM　スナップショットスタンド「鷹城 恭二」,2018/12/15|00:00:00,1000,5,50,198,9900,73,,,0,猪腰 浩司,2019/03/15|16:53:01,猪腰 浩司,2019/03/15|16:53:01
LI00000002,4,アイドルマスター SideM　スナップショットスタンド「握野 英雄」,2018/12/15|00:00:00,1000,5,50,263,13150,73,,,0,猪腰 浩司,2019/03/15|16:53:39,猪腰 浩司,2019/03/15|16:53:39
LI00000002,5,アイドルマスター SideM　スナップショットスタンド「伊瀬谷 四季」,2018/12/15|00:00:00,1000,5,50,202,10100,73,,,0,猪腰 浩司,2019/03/15|16:55:35,猪腰 浩司,2019/03/15|16:55:35
LI00000003,1,アイドルマスター SideM　スナップショットスタンド「黒野 玄武」,2018/12/15|00:00:00,1000,5,50,108,5400,73,,,0,猪腰 浩司,2019/03/15|16:53:10,猪腰 浩司,2019/03/15|16:53:10
LI00000003,2,アイドルマスター SideM　スナップショットスタンド「姫野 かのん」,2018/12/15|00:00:00,1000,5,50,41,2050,73,,,0,猪腰 浩司,2019/03/15|16:55:44,猪腰 浩司,2019/03/15|16:55:44
LI00000003,3,アイドルマスター SideM　スナップショットスタンド「山下 次郎」,2018/12/15|00:00:00,1000,5,50,184,9200,73,,,0,猪腰 浩司,2019/03/15|16:55:56,猪腰 浩司,2019/03/15|16:55:56
LI00000003,4,アイドルマスター SideM　スナップショットスタンド「秋月 涼」,2018/12/15|00:00:00,1000,5,50,45,2250,73,,,0,猪腰 浩司,2019/03/15|16:56:04,猪腰 浩司,2019/03/15|16:56:04
LI00000003,5,アイドルマスター SideM　スナップショットスタンド「北村 想楽」,2018/12/15|00:00:00,1000,5,50,110,5500,73,,,0,猪腰 浩司,2019/03/15|16:56:18,猪腰 浩司,2019/03/15|16:56:18
LI00000004,1,FLOW×コードギアス×テイルズ オブ コラボ神色紙,2019/01/30|00:00:00,1389,5,69,1500,104175,74,,,0,猪腰 浩司,2019/03/14|13:56:58,猪腰 浩司,2019/03/14|13:56:58
LI00000004,2,素材制作費,2019/01/30|00:00:00,,,,,200000,,,,0,猪腰 浩司,2019/07/22|15:36:40,猪腰 浩司,2019/07/22|15:36:40
LI00000005,1,とるパカ！ ダークソウルスカルプトコレクションVol.4 上級騎士,2019/07/05|00:00:00,4630,4,185,1680,311136,73,,,0,杉村 美冴,2019/05/21|14:54:09,杉村 美冴,2019/05/21|14:54:09
LI00000006,1,THE IDOLM@STER SHINY COLORS SE@SONAL WINTER ジャケットアクリルキーホルダー,2018/12/19|00:00:00,1112,4,44,800,35584,73,,,0,猪腰 浩司,2019/03/14|15:03:21,猪腰 浩司,2019/03/14|15:03:21
LI00000006,2,THE IDOLM@STER SHINY COLORS SE@SONAL WINTER アクリルバングル,2018/12/19|00:00:00,834,4,33,520,17348,73,,,0,杉村 美冴,2019/07/24|17:47:01,杉村 美冴,2019/07/24|17:47:01
LI00000007,1,パックマン 「GUM歯周プロケアシリーズ」WEBバンパー広告利用,2019/02/01|00:00:00,,,,,3000000,,,,0,猪腰 浩司,2019/05/15|17:07:29,猪腰 浩司,2019/05/15|17:07:29
LI00000009,2,CIDERELLA REAL PARTY 05 でれパンフ,2018/10/20|00:00:00,2222,5,111,1000,111100,73,,,0,猪腰 浩司,2019/05/30|16:20:35,猪腰 浩司,2019/05/30|16:20:35
LI00000009,3,CIDERELLA REAL PARTY 05 でれTシャツ体操着風　（S),2018/10/20|00:00:00,2407,5,120,20,2407,73,,,0,猪腰 浩司,2019/05/30|16:20:35,猪腰 浩司,2019/05/30|16:20:35
LI00000009,4,CIDERELLA REAL PARTY 05 でれTシャツ体操着風（M),2018/10/20|00:00:00,2407,5,120,80,9628,73,,,0,猪腰 浩司,2019/05/30|16:20:35,猪腰 浩司,2019/05/30|16:20:35
LI00000009,5,CIDERELLA REAL PARTY 05 でれTシャツ体操着風　（L),2018/10/20|00:00:00,2407,5,120,80,9628,73,,,0,猪腰 浩司,2019/05/30|16:20:35,猪腰 浩司,2019/05/30|16:20:35
LI00000009,6,CIDERELLA REAL PARTY  05 でれTシャツ体操着風（XL),2018/10/20|00:00:00,2407,5,120,20,2407,73,,,0,猪腰 浩司,2019/05/30|16:20:35,猪腰 浩司,2019/05/30|16:20:35
LI00000009,7,CIDERELLA REAL PARTY 05 スポーツタオル,2018/10/20|00:00:00,2130,5,106,300,31950,73,,,0,猪腰 浩司,2019/05/30|16:20:35,猪腰 浩司,2019/05/30|16:20:35
LI00000010,1,CIDERELLA REAL PARTY 05　リストバンド,2018/10/20|00:00:00,741,5,37,250,9263,73,,,0,猪腰 浩司,2019/05/30|16:20:35,猪腰 浩司,2019/05/30|16:20:35
LI00000010,2,CIDERELLA REAL PARTY 05　水筒,2018/10/20|00:00:00,1389,5,69,200,13890,73,,,0,猪腰 浩司,2019/05/30|16:20:35,猪腰 浩司,2019/05/30|16:20:35
LI00000010,3,CIDERELLA REAL PARTY 05　トートバッグ,2018/10/20|00:00:00,2037,5,102,300,30555,73,,,0,猪腰 浩司,2019/05/30|16:20:35,猪腰 浩司,2019/05/30|16:20:35
LI00000010,4,CIDERELLA REAL PARTY 05　アクリルキーホルダー1,2018/10/20|00:00:00,370,5,18,500,9250,73,,,0,猪腰 浩司,2019/05/30|16:20:35,猪腰 浩司,2019/05/30|16:20:35
LI00000010,5,CIDERELLA REAL PARTY 05　アクリルキーホルダー２,2018/10/20|00:00:00,370,5,18,400,7400,73,,,0,猪腰 浩司,2019/05/30|16:20:35,猪腰 浩司,2019/05/30|16:20:35
LI00000010,6,CIDERELLA REAL PARTY 05　アクリルキーホルダー３,2018/10/20|00:00:00,370,5,18,500,9250,73,,,0,猪腰 浩司,2019/05/30|16:20:35,猪腰 浩司,2019/05/30|16:20:35
LI00000010,7,CIDERELLA REAL PARTY 05　アクリルキーホルダー４,2018/10/20|00:00:00,370,5,18,200,3700,73,,,0,猪腰 浩司,2019/05/30|16:20:35,猪腰 浩司,2019/05/30|16:20:35
LI00000011,1,CINDERELLA REAL PARTY! 05　公開録音入場料,2018/10/20|00:00:00,4537,10,454,1700,771290,,,,0,猪腰 浩司,2019/06/27|13:35:44,猪腰 浩司,2019/06/27|13:35:44
LI00000012,1,"ルーク・フォン・ファブレモデル
バッグ",2019/02/20|00:00:00,12800,5,640,143,91520,73,,,0,猪腰 浩司,2019/03/14|18:15:57,猪腰 浩司,2019/03/14|18:15:57
LI00000012,2,ガイ・セシルモデルバッグ,2019/02/20|00:00:00,12800,5,640,98,62720,73,,,0,猪腰 浩司,2019/03/14|18:15:57,猪腰 浩司,2019/03/14|18:15:57
LI00000012,3,ジェイド・カーティスモデルバッグ,2019/02/20|00:00:00,12800,5,640,118,75520,73,,,0,猪腰 浩司,2019/03/14|18:15:57,猪腰 浩司,2019/03/14|18:15:57
LI00000013,1,ルーク・フォン・ファブレモデル財布,2019/02/20|00:00:00,9800,5,490,98,48020,73,,,0,猪腰 浩司,2019/03/14|18:15:57,猪腰 浩司,2019/03/14|18:15:57
LI00000013,2,ガイ・セシルモデル財布,2019/02/20|00:00:00,9800,5,490,105,51450,73,,,0,猪腰 浩司,2019/03/14|18:15:57,猪腰 浩司,2019/03/14|18:15:57
LI00000013,3,ジェイド・カーティスモデル財布,2019/02/20|00:00:00,9800,5,490,139,68110,73,,,0,猪腰 浩司,2019/03/14|18:15:57,猪腰 浩司,2019/03/14|18:15:57
LI00000013,4,アッシュモデル財布,2019/02/20|00:00:00,9800,5,490,92,45080,73,,,0,猪腰 浩司,2019/03/14|18:15:57,猪腰 浩司,2019/03/14|18:15:57
LI00000013,5,ルドガー・ウィル・クルスニクモデル財布,2019/02/20|00:00:00,9800,5,490,134,65660,73,,,0,猪腰 浩司,2019/03/14|18:15:57,猪腰 浩司,2019/03/14|18:15:57
LI00000013,6,ユリウス・ウィル・クルスニクモデル財布,2019/02/20|00:00:00,9800,5,490,87,42630,73,,,0,猪腰 浩司,2019/03/14|18:15:57,猪腰 浩司,2019/03/14|18:15:57
LI00000014,1,"ルドガー・ウィル・クルスニクモデル
バッグ",2019/05/01|00:00:00,12800,5,640,106,67840,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000014,2,"ユリウス・ウィル・クルスニクモデル
バッグ",2019/05/01|00:00:00,12800,5,640,45,28800,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000015,1,ジューダスモデル　財布,2019/05/01|00:00:00,9800,5,490,112,54880,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000015,2,ゼロス・ワイルダーモデル　財布,2019/05/01|00:00:00,9800,5,490,91,44590,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000015,3,ロイド・アーヴィングモデル　財布,2019/05/01|00:00:00,9800,5,490,90,44100,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000015,4,アスベル・ラントモデル　財布,2019/05/01|00:00:00,9800,5,490,65,31850,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000015,5,ジュード・マティスモデル　財布,2019/05/01|00:00:00,9800,5,490,68,33320,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000015,6,レイヴンモデル　財布,2019/05/01|00:00:00,9800,5,490,101,49490,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000016,1,ベルベット・クラウモデル　財布,2019/05/20|00:00:00,9800,5,490,124,60760,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000016,2,ロクロウ・ランゲツモデル　財布,2019/05/20|00:00:00,9800,5,490,53,25970,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000016,3,アイゼンモデル　財布,2019/05/20|00:00:00,9800,5,490,114,55860,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000016,4,マギルゥモデル　財布,2019/05/20|00:00:00,9800,5,490,38,18620,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000016,5,エレノア・ヒュームモデル　財布,2019/05/20|00:00:00,9800,5,490,32,15680,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000016,6,ライフィセットモデル　財布,2019/05/20|00:00:00,9800,5,490,38,18620,73,,,0,猪腰 浩司,2019/03/14|18:16:44,猪腰 浩司,2019/03/14|18:16:44
LI00000017,1,THE IDOLM@STER MILLION LIVE！CARD VISUAL COLLECTION CARD VISUAL COLLECTION NEXT STAGE VOL.1,2018/06/02|00:00:00,5000,5,250,3000,750000,,,,0,猪腰 浩司,2019/03/15|15:05:27,猪腰 浩司,2019/03/15|15:05:27
LI00000018,1,赤城みりあ パーティータイム・ゴールドVer.（日本）,2019/07/01|00:00:00,14800,5,740,1524,1127760,73,,,0,猪腰 浩司,2019/05/31|15:24:36,猪腰 浩司,2019/05/31|15:24:36
LI00000018,2,赤城みりあ パーティータイム・ゴールドVer.（海外）,2019/07/01|00:00:00,14800,5,740,312,230880,73,,,0,猪腰 浩司,2019/05/31|15:24:36,猪腰 浩司,2019/05/31|15:24:36
LI00000019,1,THE IDOLM@STER PRODUCER MEETING 2017 765PRO ALLSTARS -Fun to the new vision!!-　フルグラフィックトート,2017/01/28|00:00:00,3519,4,141,400,56304,73,,,0,猪腰 浩司,2019/03/15|17:51:45,猪腰 浩司,2019/03/15|17:51:45
LI00000019,2,THE IDOLM@STER PRODUCER MEETING 2017 765PRO ALLSTARS -Fun to the new vision!!-　スマートフォンセット,2017/01/28|00:00:00,2778,4,111,400,44448,73,,,0,猪腰 浩司,2019/03/15|17:51:45,猪腰 浩司,2019/03/15|17:51:45
LI00000022,1,THE IDOLM@STER MILLION LIVE! 4thLIVE TH@NK YOU for SMILE!!　フルグラフィックトート,2017/03/10|00:00:00,3519,5,176,200,35190,73,,,0,猪腰 浩司,2019/03/15|17:51:45,猪腰 浩司,2019/03/15|17:51:45
LI00000022,2,THE IDOLM@STER MILLION LIVE! 4thLIVE TH@NK YOU for SMILE!!　マルチモバイルスタンド　真壁瑞希,2017/03/10|00:00:00,1852,5,93,150,13890,73,,,0,猪腰 浩司,2019/03/15|17:51:45,猪腰 浩司,2019/03/15|17:51:45
LI00000023,1,アイドルマスターシンデレラガールズ　ねんどろいどぷらす ラバーコースターセット Vol.1,2018/12/01|00:00:00,2778,5,139,980,136122,73,,,0,杉村 美冴,2019/05/17|10:57:00,杉村 美冴,2019/05/17|10:57:00
LI00000024,1,OVA「テイルズ オブ ファンタジア」公衆送信（アソビストア),,,10,,,45900,,,,0,猪腰 浩司,2019/03/15|18:20:05,猪腰 浩司,2019/03/15|18:20:05
LI00000025,1,クリアファイルコレクション　アイドルマスター シャイニーカラーズ　放課後クライマックスガールズ,2019/01/09|00:00:00,2000,5,100,5500,550000,,,,0,猪腰 浩司,2019/03/18|14:12:47,猪腰 浩司,2019/03/18|14:12:47
LI00000025,2,クリアファイルコレクション　アイドルマスター シャイニーカラーズ　アルストロメリア,2019/01/09|00:00:00,1200,5,60,5500,330000,,,,0,猪腰 浩司,2019/03/18|14:12:47,猪腰 浩司,2019/03/18|14:12:47
LI00000028,1,クリアファイルコレクション　アイドルマスター シャイニーカラーズ　イルミネーションカラーズ,2018/12/03|00:00:00,1200,5,60,5500,330000,,,,0,猪腰 浩司,2019/03/18|14:09:04,猪腰 浩司,2019/03/18|14:09:04
LI00000028,2,クリアファイルコレクション　アイドルマスター シャイニーカラーズ　アンティーカ,2018/12/03|00:00:00,2000,5,100,5500,550000,,,,0,猪腰 浩司,2019/03/18|14:09:04,猪腰 浩司,2019/03/18|14:09:04
LI00000029,1,[GOD_EATER_3]Xmasプリケーキ2018(クレア・ヴィクトリアス)／5号,2018/12/07|00:00:00,4000,5,200,9,1800,73,,,0,猪腰 浩司,2019/03/18|14:33:14,猪腰 浩司,2019/03/18|14:33:14
LI00000029,2,[GOD_EATER_3]Xmasプリケーキ2018(ジーク・ペニーウォート)／5号,2018/12/07|00:00:00,4000,5,200,7,1400,73,,,0,猪腰 浩司,2019/03/18|14:37:58,猪腰 浩司,2019/03/18|14:37:58
